,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,label
12649, EcoSport,2019,16300,Semi-Auto,5512,Petrol,150,45.6,1.0,0.2963905809619056
12650, Fiesta,2018,11000,Manual,9309,Petrol,150,65.7,1.0,0.20001818347122466
12651, Fiesta,2017,10000,Manual,11956,Petrol,0,65.7,1.0,0.18183471224656786
12652, Focus,2019,16000,Manual,7071,Petrol,150,60.1,1.0,0.2909355395945086
12653, Kuga,2018,16000,Manual,11681,Diesel,150,64.2,1.5,0.2909355395945086
12654, C-MAX,2018,13000,Manual,12073,Petrol,150,48.7,1.0,0.23638512592053823
12655, Focus,2016,11100,Manual,23038,Petrol,20,61.4,1.0,0.20183653059369033
12656, Fiesta,2016,7750,Manual,36500,Petrol,0,65.7,1.0,0.1409219019910901
12657, Fiesta,2017,7800,Manual,50709,Petrol,145,64.2,1.1,0.14183107555232294
12658, Fiesta,2018,11250,Manual,12126,Petrol,145,56.5,1.0,0.20456405127738886
12659, Kuga,2017,14750,Manual,17444,Diesel,125,60.1,2.0,0.2682062005636876
12660, Grand C-MAX,2016,11250,Manual,19548,Diesel,30,64.2,1.5,0.20456405127738886
12661, Ka+,2018,7950,Manual,8056,Petrol,145,57.7,1.2,0.14455859623602146
12662, Fiesta,2020,14500,Manual,40,Petrol,145,56.5,1.0,0.26366033275752343
12663, Focus,2018,16000,Manual,124,Petrol,145,60.1,1.0,0.2909355395945086
12664, Focus,2019,16500,Manual,2078,Petrol,145,51.4,1.5,0.300027275206837
12665, Tourneo Connect,2016,13000,Automatic,11297,Diesel,125,56.6,1.5,0.23638512592053823
12666, Ka+,2017,7600,Manual,8007,Petrol,145,57.7,1.2,0.1381943813073916
12667, EcoSport,2018,14000,Manual,9654,Petrol,145,54.3,1.0,0.25456859714519503
12668, Kuga,2017,17800,Semi-Auto,22234,Diesel,145,54.3,2.0,0.3236657877988908
12669, EcoSport,2019,17500,Semi-Auto,5387,Petrol,150,44.1,1.0,0.3182107464314938
12670, Fiesta,2018,14000,Manual,15167,Petrol,150,65.7,1.0,0.25456859714519503
12671, Focus,2017,10500,Manual,29461,Petrol,20,60.1,1.0,0.19092644785889626
12672, Kuga,2019,18250,Manual,12088,Petrol,145,39.2,1.5,0.33184834984998635
12673, Fiesta,2019,13999,Manual,14755,Petrol,145,58.9,1.0,0.25455041367397035
12674, Fiesta,2019,14499,Manual,10969,Petrol,145,55.4,1.0,0.26364214928629875
12675, Fiesta,2019,14499,Manual,9905,Petrol,145,55.4,1.0,0.26364214928629875
12676, Fiesta,2019,14499,Manual,12356,Petrol,145,55.4,1.0,0.26364214928629875
12677, Fiesta,2019,14499,Manual,12783,Petrol,145,55.4,1.0,0.26364214928629875
12678, Fiesta,2019,14499,Manual,8905,Petrol,145,55.4,1.0,0.26364214928629875
12679, Fiesta,2019,14299,Manual,12024,Petrol,145,60.1,1.0,0.2600054550413674
12680, Fiesta,2019,13999,Manual,6173,Petrol,145,55.4,1.0,0.25455041367397035
12681, Fiesta,2019,15499,Manual,8971,Petrol,145,55.4,1.0,0.28182562051095555
12682, Kuga,2016,13699,Manual,22132,Diesel,30,64.2,1.5,0.24909537230657333
12683, Focus,2017,10000,Manual,28935,Diesel,145,74.3,1.5,0.18183471224656786
12684, Galaxy,2019,24500,Semi-Auto,7439,Diesel,145,53.3,2.0,0.44549504500409126
12685, S-MAX,2019,24400,Manual,11704,Diesel,145,54.3,2.0,0.4436766978816256
12686, Focus,2017,16000,Manual,22060,Petrol,200,41.5,2.0,0.2909355395945086
12687, Fiesta,2015,10500,Manual,23640,Petrol,145,47.9,1.6,0.19092644785889626
12688, Focus,2019,15400,Manual,10310,Petrol,145,49.6,1.0,0.2800254568597145
12689, Focus,2019,17900,Automatic,10611,Petrol,145,42.8,1.0,0.32548413492135647
12690, Focus,2019,15700,Manual,5300,Petrol,145,49.6,1.0,0.2854804982271116
12691, Fiesta,2019,13750,Manual,7156,Petrol,145,58.9,1.0,0.2500227293390308
12692, Focus,2018,12000,Manual,12564,Petrol,145,60.1,1.0,0.21820165469588143
12693, Focus,2018,17250,Manual,14831,Petrol,145,41.5,2.0,0.3136648786253296
12694, Fiesta,2018,13000,Manual,31000,Petrol,145,65.7,1.0,0.23638512592053823
12695, Focus,2018,14950,Manual,581,Petrol,145,58.9,1.0,0.27184289480861895
12696, Focus,2019,26950,Manual,7042,Diesel,145,50.4,2.0,0.4900445495045004
12697, Mondeo,2018,17500,Automatic,3876,Petrol,145,43.5,1.5,0.3182107464314938
12698, Kuga,2018,15000,Manual,18801,Petrol,150,45.6,1.5,0.27275206836985183
12699, EcoSport,2017,9750,Manual,12362,Petrol,125,53.3,1.0,0.1772888444404037
12700, Puma,2019,21700,Manual,780,Petrol,145,50.4,1.0,0.39458132557505227
12701, Fiesta,2020,16300,Manual,765,Petrol,145,56.5,1.0,0.2963905809619056
12702, Fiesta,2016,9750,Manual,20178,Petrol,0,65.7,1.0,0.1772888444404037
12703, EcoSport,2017,10950,Manual,14535,Petrol,125,52.3,1.0,0.1991090099099918
12704, Edge,2018,21950,Manual,25134,Diesel,145,47.9,2.0,0.3991271933812165
12705, Kuga,2017,14250,Manual,25561,Diesel,145,64.2,1.5,0.2591144649513592
12706, Focus,2017,17750,Manual,18022,Diesel,145,67.3,2.0,0.32275661423765795
12707, Fiesta,2018,14500,Manual,5089,Petrol,145,58.9,1.0,0.26366033275752343
12708, EcoSport,2017,10450,Manual,18129,Petrol,145,52.3,1.0,0.19001727429766344
12709, Edge,2017,18950,Manual,18968,Diesel,160,48.7,2.0,0.3445767797072461
12710, Fiesta,2019,13299,Manual,5139,Petrol,145,56.5,1.0,0.2418219838167106
12711, Fiesta,2019,13399,Manual,6149,Petrol,145,56.5,1.0,0.24364033093917628
12712, Fiesta,2017,12149,Automatic,5889,Petrol,0,57.7,1.0,0.2209109919083553
